dataset,method,stage,filter_rank,library_name,differentiation_name,threshold,field_nrmse,state_rmse,active_terms,interpretability_penalty,shift_corr,reference_shift_corr,long_horizon_max_norm,stable,score
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,30,30.287624622059315,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,26,30.299577201931807,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,22,28.625260696333676,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,1.0,inf,inf,17,25.822409588249062,0.03749375934017584,1.0,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.001,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.01,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.021544346900318832,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.046415888336127774,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.1,inf,inf,59,55.08063116062157,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.21544346900318823,inf,inf,57,53.40461620246553,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.46415888336127775,inf,inf,46,45.557057346953705,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,1.0,0.06376410871625202,0.7129871577141811,34,36.66077653200078,0.7453689498655076,,22.258183149948415,True,6.072880588516369
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.001,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.01,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,59,55.08057135361292,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,57,53.404570963024646,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,46,45.55711569961909,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,1.0,0.06376299662796849,0.7128387783821151,34,36.66082866254585,0.7453689498655143,,22.25770172239118,True,6.072887296009846
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.001,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.01,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,56,52.69629407227754,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,51,50.61180507055788,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,1.0,0.09977129389766602,3.0330224855550094,34,35.99192067659033,0.9740204130742517,,21.25249659001426,True,6.008559395386216
