dataset,method,stage,filter_rank,library_name,differentiation_name,threshold,field_nrmse,state_rmse,active_terms,interpretability_penalty,shift_corr,reference_shift_corr,long_horizon_max_norm,stable,score,pareto_efficient
kutz_cylinder,dmd_sindy,optimization,6,poly2,finite_difference,0.46415888336127775,0.21202389223117035,3.223574785525753,5,12.000051673613198,0.26847679271867464,1.0,148.9658696998477,True,2.08703164327315,False
kutz_cylinder,dmd_sindy,optimization,7,poly2_trig,finite_difference,0.46415888336127775,0.212136942040766,3.4894619755537613,5,12.00536086879242,0.25948026692859444,1.0,148.81262617924605,True,2.0879410723596292,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,finite_difference,0.046415888336127774,0.2121571505430581,3.5348990466455974,5,12.00536086879242,0.25948026692859444,1.0,148.81520352752318,True,2.0879612808619212,False
kutz_cylinder,dmd_sindy,optimization,6,poly2,finite_difference,0.021544346900318832,0.2120238962051252,3.223584514910328,8,11.794697290405301,0.26847679271867464,1.0,148.96588087367985,True,2.10122848976592,False
kutz_cylinder,dmd_sindy,optimization,5,poly3_trig,spectral,0.46415888336127775,0.2118620855026435,2.7997090206504214,6,12.0,0.26503910920734924,1.0,148.699972652462,True,2.1018620855026433,False
kutz_cylinder,dmd_sindy,optimization,9,poly2,finite_difference,0.1,0.2120670276733689,3.327517852632407,6,12.343835903662992,0.2913117635510431,1.0,148.90449707291023,True,2.153642413222818,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,spectral,0.21544346900318823,0.21184553476203913,2.7526959506046302,3,13.0,0.25948026692859444,1.0,148.52787969152155,True,2.206845534762039,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,spectral,0.46415888336127775,0.21184553476203913,2.7526959506046302,3,13.0,0.25948026692859444,1.0,148.52787969152155,True,2.206845534762039,False
kutz_cylinder,dmd_sindy,optimization,7,poly2,spectral,1.0,0.21184553476203913,2.7526959506046302,3,13.0,0.25948026692859444,1.0,148.52787969152155,True,2.206845534762039,False
kutz_cylinder,dmd_sindy,optimization,7,poly3,spectral,0.46415888336127775,0.21184553476203913,2.7526959506046302,3,13.0,0.25948026692859444,1.0,148.52787969152155,True,2.206845534762039,False
kutz_cylinder,dmd_sindy,optimization,7,poly2_trig,spectral,1.0,0.21184553476203913,2.7526959506046302,3,13.0,0.25948026692859444,1.0,148.52787969152155,True,2.206845534762039,False
